,Artist,Name,Popularity,Year,genre,lyrics
2066,2Pac,I Get Around Lyrics,50.78721814,2006,HipHop,"Aww, yeah (round and round) (round it go) I get around,Still clown with tha underground When we come around (round and round) (round it go) Stronger than ever Back to get wreck All respect to those who break they neck To keep they hoes in check,Cuz, hoes, they sweat a brotha majorly and I don't know why, your girl keeps paging me,She tell me that she needs me Cries when she leaves me And every time she sees me, she squeeze me Lady take it easy Hate to sound sleazy, but tease me I don't want it if it's that easy,Ehh yo bus it, baby got a problem saying bye bye Just another hazard of a fly guy,You ask why, it don't matter,My pockets got fatter Now everybodys looking for the ladder And ain't no need in be greedy,If you wanna see me Try a beeper number baby when you need me And I'll be there in a jiffy Don't be picky just be happy with this quicky,But when you learn, you can't tie me down Baby doll, check it out I get around Whatcha mean, ya don't know,(round and round) (round it go) I get around The underground just don't stop for hoes,I get around (round and round),(round it go) I get around Hey yo Shock, let them hoes know,Now you can tell from my everday fits, I aint rich So cease and desist with them tricks (tricks),I'm just another black man caught up in the mix (mix) Trying to make a dollar out of fifteen cents (a dime and a nickel),Just cuz I'm a freak Don't mean that we could hit the sheets Baby, I can see, that you don't recognize me I'm Shock-G, the one who put the satin on your panties Never knew a hooker that could sham me I get around What's up love, how you doin'? (alright),Well I've been hangin' sangin', tryin' to do my thang Oh, you heard that I was bangin"" Your home girl you went to school with That's cool, but did she tell you about her sister And your cousin thought I wasn't See, weekends was made for michelob But it's a monday, my day So just let me hit it, yo,And don't mistake my statement for a clown We can keep on the down low long as you know That I get around (round and round) (round it go) 2pacalypse now, don't stop for hoes I get around (round and round) (round it go) Why I aint called you (hahaha please) Fingertips on the hips as I dip Gotta get a tight grip, don't slip Loose lips, sank ships, it's a trip I love the way she licks her lips See me jockin' Put a little twist in her hips Cuz Im watchin' Conversations on the phone 'Till the break of dawn Now we all alone, why the lights on? Turn em off, time to set it off Get you wet n soft Somethings on your mind, let it off You don't know me You just met me You wont let me Well if I couldnt have it, (silly rabbit) Why you sweatin' me? Its a lot of real Gs doin' time Cuz a groupy bit the trooper told a lie You picked the wrong guy Baby if you're too fly You need to hit the door Search for a new guy Cuz I only got one night in town Break down or be clowned Baby doll are you down? I get around"
234,Adele,Hiding My Heart Lyrics,40.08251451,2011,Pop,"This is how the story went I met someone by accident Who blew me away Blew me away And It was in the darkest of my days When you took my sorrow and you took my pain And buried them away, buried them away,I wish I could lay down beside you When the day is done And wake up to your face against the morning sun But like everything I've ever known You'll disappear one day So I'll spend my whole life hiding my heart away,Dropped you off at the train station Put a kiss on top of your head Watched you wave And watched you wave Then I went on home to my skyscrapers And neon lights and waiting papers That I call home I call that home,I wish I could lay down beside you When the day is done And wake up to your face against the morning sun But like everything I've ever known You'll disappear one day So I'll spend my whole life hiding my heart away Away, yeah,Woke up feeling heavy hearted I'm going back to where I started The morning rain The morning rain And though I wish that you were here On that same old road that brought me here It's calling me home It's calling me home,I wish I could lay down beside you When the day is done And wake up to your face against the morning sun But like everything I've ever known You'll disappear one day So I'll spend my whole life hiding my heart away,I can spend my whole life hiding my heart away"
959,Christina Perri,Distance Lyrics,12.41196765,2011,Pop,"Sun is filling up the room And I can hear you dreaming Do you feel the way I do? Right now?,I wish we would just give up 'Cause the best part is falling Calling anything but love,And I will make sure To keep my distance Say I love you When you're not listening And how long Can we keep this up, up, up? Please don't stand so close to me,I'm having trouble breathing I'm afraid of what you'll see Right now I'll give you everything I am,All my broken heartbeats Until I know you'll understand And I will make sure,To keep my distance Say I love you When you're not listening And how long Can we keep this up, up, up? And I keep waiting For you to take me,You keep waiting To save what we have So I'll make sure To keep my distance,Say I love you When you're not listening And how long Can we keep this up, up, up? Make sure To keep my distance Say I love you When you're not listening And how long Till we call this love, love, love?"
953,Christina Perri,Jar Of Hearts Lyrics,21.98462012,2011,Pop,"I know I can't take one more step towards you 'Cause all that's waiting is regret Don't you know I'm not your ghost anymore You lost the love I loved the most,I learned to live half alive And now you want me one more time,And who do you think you are? Runnin' 'round leaving scars Collecting your jar of hearts And tearing love apart You're gonna catch a cold From the ice inside your soul So don't come back for me Who do you think you are?,I hear you're asking all around If I am anywhere to be found But I have grown too strong To ever fall back in your arms,And I've learned to live half alive And now you want me one more time,And who do you think you are? Runnin' 'round leaving scars Collecting your jar of hearts And tearing love apart You're gonna catch a cold From the ice inside your soul So don't come back for me Who do you think you are?,And it took so long just to feel alright Remember how to put back the light in my eyes I wish I had missed the first time that we kissed 'Cause you broke all your promises And now you're back You don't get to get me back,And who do you think you are? Runnin' 'round leaving scars Collecting your jar of hearts And tearing love apart You're gonna catch a cold From the ice inside your soul So don't come back for me Don't come back at all,And who do you think you are? Runnin' 'round leaving scars Collecting your jar of hearts Tearing love apart You're gonna catch a cold From the ice inside your soul Don't come back for me Don't come back at all Who do you think you are? Who do you think you are? Who do you think you are?"
988,Christina Perri,Miles Lyrics,6.0,2011,Pop,"I'm scared today More than I told you I was yesterday Give me a moment to catch my breath And hold me every second left,Proud of me That's the only way I want you to be Look at me and love What you see,I won't make it alone I need something to hold,Kiss me on my shoulder Tell me it's not over I promised to always come Home to you,Remind me that I'm older To be brave smart, sweet and bolder And don't give up On what we're trying to do,Don't count the miles Count the 'I love you's',We made it out And all the other people are asking how This doesn't even sound like truth To grow from a bruise,But one day we will realize How hard it was, how hard we tried And how our hearts made it out alive,Kiss me on my shoulder Tell me it's not over I promise to always come Home to you,Remind me that I'm older To be brave, smart, sweet and bolder And don't give up On what we're trying to do,Don't count the miles Count the 'I love you's',And these are words I wish you'd said But that's not how it went 'Cause you gave up on us in the end,And I won't make it alone I need something to hold,Kiss me on my shoulder Tell me it's not over I promise to always come Home to you,Remind me that I'm older To be brave, smart, sweet and bolder And don't give up On what we're trying to do Kiss me on my shoulder Tell me it's not over I promise to come Home to you Remind me that I'm older To be brave, smart, sweet and bolder And don't give up On what we're trying to do Don't count the miles Count the 'I love you's'"
973,Christina Perri,Penguin Lyrics,6.0,2011,Pop,"Can you find the time to let your lover love you He only wants to show you The things he wants to learn too The hardest parts you'll get through And in the end you'll have your best friend,Love like this may come once Baby it's fate Like a soul mate he's your penguin Baby it's fate Baby it's fate Not luck,Can you find the time to let your lover hold you He needs somebody to hold to His love is strong and so true His arrows aiming for you And he's the one that you were born to love,Love like this may come once Baby it's fate Like a soul mate he's your penguin Baby it's fate Baby it's fate Not luck,Let go Let go of time for you and I Let go Let go of time for you and I Let go Let go of time for you and I,Love like this is all I want Baby we're fate Love like this may come once Baby we're fate Like a soul mate your my penguin Baby we're fate Baby it's fate Not luck"
947,Christina Perri,The Lonely Lyrics,28.97843832,2011,Pop,"2am, where do I begin Crying off my face again The silent sound of loneliness Wants to follow me to bed I'm the ghost of a girl That I want to be most I'm the shell of a girl,That I used to know well Dancing slowly in an empty room Can the lonely take the place of you I sing myself a quiet lullaby Then you go and let the lonely in,To take my heart again Too afraid, to go inside For the pain of one more loveless night For the loneliness will stay with me,And hold me till I fall asleep I'm the ghost of a girl,That I want to be most I'm the shell of a girl That I used to know well Dancing slowly in an empty room Can the lonely take the place of you,I sing myself a quiet lullaby Then you go and let the lonely in To take my heart again Broken pieces of,A barely breathing story Where there once was love Now there's only me And the lonely... Dancing slowly in an empty room Can the lonely take the place of you I sing myself a quiet lullaby Then you go and let the lonely in To take my heart again..."
978,Christina Perri,Tragedy Lyrics,6.0,2011,Pop,"If you could envision The meaning of a tragedy Ooh, you might be Surprised to hear it's you and me.,When it comes down to it You never made the most of it. Ooh, so I cry, cry, cried And now I say goodbye.,And I won't be made a fool of Don't call this love.,When did you decide That I didn't have enough to buy? Forgive and forget you a thousand times For the fire and the sleepless nights.,And I won't be made a fool of Don't call this love. Don't call this love.,La, la, la, la, la, la, la, la, la, love, love La, la, la, la, la, love, love La, la, la, la, love, love,Why did you feel the need To prove that everybody else was right? No, I won't fight.,Oh, you're my tragedy, tragedy Oh, you're my tragedy, oh This is, oh, no no n-no,La, la, la, la, la, la, la, la, la, love, love La, la, la, la, la, love, love La, la, la, la, love, love La, la, la, love La, la, la, la, la, la, la, la, la, love, love La, la, la, la, la, love, love La, la, la, la, love, love La, la, la, love"
733,Céline Dion,My Heart Will Go On Lyrics,88.56544763,1999,Pop,"Every night in my dreams I see you, I feel you That is how I know you, go on,Far across the distance And spaces, between us You have come to show you, go on,Near, far, wherever you are I believe that the heart does, go on Once more you open the door And you're here in my heart And my heart will go on, and on,Love can touch us one time And last for a life time And never let go till we're gone,Love was when I loved you One true time, I hold to In my life we'll always, go on,Near, far, wherever you are I believe that the heart does, go on Once more you open the door And you're here in my heart And my heart will go on and on You're here, there's nothing I fear And I know that my heart will go on We'll, stay, forever this way You are safe in my heart And my heart will, go on and on"
1244,DJ Khaled,I'm On One Lyrics,23.45257308,2011,HipHop,"I'm getting so cold I aint work this hard since I was 18 Apologise if I say, anything I don't mean Like whats up with your best friend? We could all have some fun, believe me And whats up with these new niggas?,And why they think it all comes so easy But get it while you here boy Cause all that hype don't feel the same next year boy Yeah and I'll be right here in my spot with a little more cash than I already got Trippin off you cause you had your shot With my skin tanned and my hair long And my fans who been so patient, me and 40 back to work but we still smell like a vacation Hate the rumours, hate your bullshit Hate these fucking allegations, I'm just feeling like the throne is for the taking Watch me take it! All I care about is money and the city that I'm from I'ma sip until I feel it, I'ma smoke it till it's done And I don't really give a fuck, and my excuse is that I'm young And I'm only getting older so somebody shoulda told ya I'm on one Yeah, fuck it, I'm on one,Yeah, I said I'm on one,Fuck it, I'm on one Two white cups and I got that drink Could be purple, it could be pink Depending on how you mix that shit Money that we got, never get that shit Cause I'm on one I said fuck it I'm on one I'm burning purple flowers It's burning my chest I bury the most cash and burning the rest Walking on the clouds, suspended in thin air Do ones beneath me recognise the red bottoms I wear,Burner in the belt Move the kids to the hills (boss),Bend shawty on the sink, do it for the thrill Kiss you on ya neck and tell ya everything is great Even though I out on bond I might be facin' 8's Still running with the same niggas til the death of me Ever seen a million cash, gotta count it carefully Ever made love to the woman of your dreams In a room full of money out in London and she screams Baby, I could take it there Call Marc Jacobs personally to make a pair So yeah, we on one, the feeling ain't fair (Khaled) And it's double M G until I get the chair All I care about is money and the city that I'm from I'ma sip until I feel it, I'ma smoke it till it's done And I don't really give a fuck, and my excuse is that I'm young And I'm only getting older so somebody shoulda told ya I'm on one,Yeah, fuck it, I'm on one Yeah, I said I'm on one Fuck it, I'm on one,Two white cups and I got that drink Could be purple, it could be pink Depending on how you mix that shit Money that we got, never get that shit Cause I'm on one I said fuck it I'm on one I walk around the club, fuck everybody And all my niggas got that heat I feel like Pat Riley Yeah, too much money, aint enough money You know the feds listening, nigga what money? I'm a made nigga,I should dust something You niggas on the bench Like the bus coming Huh, aint nothing sweet but the swishas,I'm focused might aswell say cheese for the pictures Ohhh, I'm about to go Andre the Giant You a sell out, but I ain't buying Chopper dissect a nigga like science Put an end to the world like Mayans This a celebration bitches, Mazel Tov It's a slim chance I fall, olive oil Tunechi be the name, don't ask me how I got it I'm killin' these hoes I swear I'm tryna stop the violence Young mula baby, YMCMB"
