,Artist,Name,Popularity,Year,genre,lyrics
656,Bob Marley,Everythings Gonna Be Alright Lyrics,100.0,2012,,"""Don't worry about a thing, 'Cause every little thing gonna be all right. Singin': ""Don't worry about a thing, 'Cause every little thing gonna be all right!"",Rise up this mornin', Smiled with the risin' sun, Three little birds Perch by my doorstep Singin' sweet songs Of melodies pure and true, Sayin', (""This is my message to you-ou-ou:""),Singin': ""Don't worry 'bout a thing, 'Cause every little thing gonna be all right."" Singin': ""Don't worry (don't worry) 'bout a thing, 'Cause every little thing gonna be all right!"",Rise up this mornin', Smiled with the risin' sun, Three little birds Perch by my doorstep Singin' sweet songs Of melodies pure and true, Sayin', ""This is my message to you-ou-ou:"",Singin': ""Don't worry about a thing, worry about a thing, oh! Every little thing gonna be all right. Don't worry!"" Singin': ""Don't worry about a thing"" - I won't worry! ""'Cause every little thing gonna be all right."",Singin': ""Don't worry about a thing, 'Cause every little thing gonna be all right"" - I won't worry! Singin': ""Don't worry about a thing, 'Cause every little thing gonna be all right."" Singin': ""Don't worry about a thing, oh no! 'Cause every little thing gonna be all right! /fadeout/"
657,Bob Marley,"Don't Worry, Be Happy Lyrics",86.28385479,2008,,"Here is a little song I wrote You might want to sing it note for note Don't worry be happy In every life we have some trouble When you worry you make it double Don't worry, be happy......,Ain't got no place to lay your head Somebody came and took your bed Don't worry, be happy The land lord say your rent is late He may have to litigate Don't worry, be happy Look at me I am happy Don't worry, be happy Here I give you my phone number When you worry call me I make you happy Don't worry, be happy Ain't got no cash, ain't got no style Ain't got no girl to make you smile But don't worry be happy Cause when you worry Your face will frown And that will bring everybody down So don't worry, be happy (now).....,There is this little song I wrote I hope you learn it note for note Like good little children Don't worry, be happy Listen to what I say In your life expect some trouble But when you worry You make it double Don't worry, be happy...... Don't worry don't do it, be happy Put a smile on your face Don't bring everybody down like this Don't worry, it will soon pass Whatever it is Don't worry, be happy"
658,Bob Marley,No Woman No Cry Lyrics,79.88976582,1984,,"No, woman no cry No, woman no cry No, woman no cry No, woman no cry Said, said, said I remember when we used to sit In the government yard in Trenchtown Ob-observing the hypocrites As they would mingle with the good people we meet (meet) Good friends we have, oh, good friends we've lost Along the way (way) In this great future, you can't forget your past So dry your tears, I say,And no, woman, no cry No, woman, no cry Dear, little darlin', don't shed no tears No, woman, no cry,Said, said, said I remember when we used to sit In the government yard in Trenchtown And then Georgie would make the fire light As it was logwood burnin' through the night (night) Then we would cook cornmeal porridge Of which I'll share with you (ooh) My feet is my only carriage So I've got to push on through,But while I'm gone, I mean Everything's gonna be all right Everything's gonna be all right Everything's gonna be all right Everything's gonna be all right Everything's gonna be all right Everything's gonna be all right Everything's gonna be all right, yeah Everything's gonna be all right,No, woman, no cry Oh, no, no (no, woman no cry) Woman, little sister, don't shed no tears No, woman, no cry,I remember when we used to sit In the government yard in Trenchtown And then Georgie would make the fire light As it was logwood burnin' through the night Then we would cook cornmeal porridge Of which I'll share with you My feet is my only carriage So I've got to push on through,But while I'm gone No, woman, no cry No, woman, no cry,Woman, little darlin', sayin' don't shed no tears No, woman, no cry Hey, little darlin', don't shed no tears No, woman, no cry,Now, little sister, don't shed no tears No, woman no cry"
659,Bob Marley,One Love Lyrics,79.17388749,2010,,"ken boral,one love,One love, one heart Let's get together and feel all right Hear the children crying (One love) Hear the children crying (One heart) Sayin', ""Give thanks and praise to the Lord and I will feel all right."" Sayin', ""Let's get together and feel all right."" Whoa, whoa, whoa, whoa,Let them all pass all their dirty remarks (One love) There is one question I'd really love to ask (One heart) Is there a place for the hopeless sinner Who has hurt all mankind just to save his own? Believe me,One love, one heart Let's get together and feel all right As it was in the beginning (One love) So shall it be in the end (One heart) Alright, ""Give thanks and praise to the Lord and I will feel all right."" ""Let's get together and feel all right."" One more thing,Let's get together to fight this Holy Armageddon (One love) So when the Man comes there will be no, no doom (One song) Have pity on those whose chances grow thinner There ain't no hiding place from the Father of Creation,Sayin', ""One love, one heart Let's get together and feel all right."" I'm pleading to mankind (One love) Oh, Lord (One heart) Whoa. Give thanks and praise to the Lord and I will feel all right. Let's get together and feel all right. Give thanks and praise to the Lord and I will feel all right. Let's get together and feel all right."
660,Bob Marley,Is This Love Lyrics,76.49731022,1984,,"I wanna love you and treat you right I wanna love you every day and every night: We'll be together with a roof right over our heads We'll share the shelter of my single bed We'll share the same room, yeah! - for Jah provide the bread. Is this love - is this love - is this love - Is this love that I'm feelin'? Is this love - is this love - is this love - Is this love that I'm feelin'? I wanna know - wanna know - wanna know now! I got to know - got to know - got to know now!,I-I-I-I-I-I-I-I-I - I'm willing and able So I throw my cards on your table! I wanna love you - I wanna love and treat - love and treat you right I wanna love you every day and every night: We'll be together, yeah! - with a roof right over our heads We'll share the shelter, yeah, oh now! - of my single bed,We'll share the same room, yeah! - for Jah provide the bread.,Is this love - is this love - is this love - Is this love that I'm feelin'? Is this love - is this love - is this love - Is this love that I'm feelin'?,Wo-o-o-oah! Oh yes, I know; yes, I know - yes, I know now! Yes, I know; yes, I know - yes, I know now!,I-I-I-I-I-I-I-I-I - I'm willing and able So I throw my cards on your table! See: I wanna love ya, I wanna love and treat ya - love and treat ya right. I wanna love you every day and every night: We'll be together, with a roof right over our heads! We'll share the shelter of my single bed We'll share the same room, yeah! Jah provide the bread. We'll share the shelter of my single bed - /fadeout/"
661,Bob Marley,Three Little Birds Lyrics,75.75928033,1977,,"Don't worry about a thing 'Cause every little thing gonna be all right. Singin': ""Don't worry about a thing 'Cause every little thing gonna be all right!,Rise up this mornin' Smiled with the risin' sun 3 little birds Pitch by my doorstep Singin' sweet songs Of melodies pure and true Sayin', (""This is my message to you-ou-ou:""),Singin': ""Don't worry 'bout a thing 'Cause every little thing gonna be all right."" Singin': ""Don't worry (don't worry) 'bout a thing 'Cause every little thing gonna be all right!"",Rise up this mornin' Smiled with the risin' sun 3 little birds Pitch by my doorstep Singin' sweet songs Of melodies pure and true Sayin', ""This is my message to you-ou-ou:"",Singin': ""Don't worry about a thing, worry about a thing, oh! Every little thing gonna be all right. Don't worry!"" Singin': ""Don't worry about a thing"" - I won't worry! ""'Cause every little thing gonna be all right."",Singin': ""Don't worry about a thing 'Cause every little thing gonna be all right"" - I won't worry! Singin': ""Don't worry about a thing 'Cause every little thing gonna be all right."" Singin': ""Don't worry about a thing, oh no! 'Cause every little thing gonna be all right! By Bob Marley"
662,Bob Marley,Ganja Gun Lyrics,73.82433499,2011,,"I'm gonna smoke'a de ganja until I go blind You know I smoke'a de ganja all a de time Smoke'a de ganja when I'm with friends We gonna smoke'a de ganja until the very end,Whoo, ganja ganja Whoo, ganja gun Whoo, ganja ganja Whoo, ganja gun,Whoo, ganja ganja Whoo, ganja gun Whoo, ganja ganja Whoo, ganja gun,Smoke'a de ganja every day Ya, you gonn' smoke'a de ganja in many different ways You can smoke'a de ganja in a big fat bowl Or you can smoke'a de ganja in a bong,N' keep ya' very lucky you can smoke it in a bong When you smoke it in a bong You are baked all night long mista Whoo, ganja ganja Whoo, ganja gun Whoo, ganja ganja Whoo, ganja gun"
663,Bob Marley,Bad Boys Lyrics,73.6589998,2010,,"Bad boys, whatcha want Watcha want, whatcha gonna do? When sheriff John Brown come for you Tell me whatcha wanna do, whatcha gonna do?,Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you? Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you?,When you were eight and you had bad traits You go to school and learn the golden rule So why are you acting like a bloody fool? If you get hot, you must get cool,Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you? Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you?,You chuck it on that one You chuck it on this one You chuck it on your mother And you chuck it on your father,You chuck it on your brother And you chuck it on your sister You chuck it on that one And you chuck it on me,Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you? Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you?,Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you? Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you?,Nobody now give you no break Police now give you no break Not soldier man give you no break Not even you idren now give you no breaks,Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you? Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you?,Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you? Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you?,Why did you have to act so mean? Don't you know you're human being? Born of a mother with the love of a father Reflections come and reflections go I know sometimes you wanna let go I know sometimes you want to let go,Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you? Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you?,You're too bad, you're too rude You're too bad, you're too rude,Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you? Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you? You chuck it on that one You chuck it on this one You chuck it on your mother And you chuck it on your father You chuck it on your brother And you chuck it on your sister You chuck it on that one And you chuck it on me Bad boys, bad boys whatcha gonna do? Whatcha gonna do when they come for you?"
664,Bob Marley,Buffalo Soldier Lyrics,72.00891064,1984,,"Buffalo Soldier Dreadlock Rasta There was a Buffalo Soldier in the heart of America Stolen from Africa brought to America Fighting on arrival fighting for survival,I mean it, when I analyze the stench To me it makes a lot of sense How the Dreadlock Rasta was the Buffalo Soldier And he was taken from Africa brought to America Fighting on arrival fighting for survival,Said he was a Buffalo Soldier Dreadlock Rasta Buffalo Soldier in the heart of America,If you know your history Then you would know where you coming from Then you wouldn't have to ask me Who the 'eck do I think I am,I'm just a Buffalo Soldier in the heart of America Stolen from Africa brought to America Said he was fighting on arrival fighting for survival Said he was a Buffalo Soldier win the war for America,Dreadie, woy yoy yoy, woy yoy-yoy yoy Woy yoy yoy yoy, yoy yoy-yoy yoy Woy yoy yoy, woy yoy-yoy yoy Woy yoy yoy yoy, yoy yoy-yoy yoy Buffalo Soldier troddin' through the land, wo-ho-ooh Said he wanna ran and then you wanna hand Troddin' through the land, yea-hea, yea-ea,Said he was a Buffalo Soldier win the war for America Buffalo Soldier Dreadlock Rasta Fighting on arrival fighting for survival Driven from the mainland to the heart of the Caribbean,Singing, woy yoy yoy, woy yoy-yoy yoy Woy yoy yoy yoy, yoy yoy-yoy yoy Woy yoy yoy, woy yoy-yoy yoy Woy yoy yoy yoy, yoy yoy-yoy yoy"
665,Bob Marley,Redemption Song Lyrics,71.36670502,1984,,"Old pirates, yes, they rob I Sold I to the merchant ships Minutes after they took I From the bottomless pit,But my hand was made strong By the 'and of the Almighty We forward in this generation Triumphantly,Won't you help to sing These songs of freedom? 'Cause all I ever have Redemption songs Redemption songs,Emancipate yourselves from mental slavery None but ourselves can free our minds Have no fear for atomic energy 'Cause none of them can stop the time How long shall they kill our prophets While we stand aside and look? Uh Some say it's just a part of it We've got to fulfill the book,Won't you help to sing These songs of freedom? 'Cause all I ever have Redemption songs Redemption songs Redemption songs,Emancipate yourselves from mental slavery None but ourselves can free our mind, whoa Have no fear for atomic energy 'Cause none of them-a can-a stop-a the time How long shall they kill our prophets While we stand aside and look? Yes, some say it's just a part of it We've got to fulfill the book,Won't you help to sing These songs of freedom? 'Cause all I ever have Redemption songs All I ever have Redemption songs These songs of freedom Songs of freedom"
