,Artist,Name,Popularity,Year,genre,lyrics
111,ABBA,Arrival Lyrics,31.03125701,1977,Pop,[Instrumental]
327,A. R. Rahman,The Dichotomy of Fame Lyrics,16.74329796,2018,Other,Instrumental
361,Ariana Grande,Get Well Soon Lyrics,44.39389386,2018,Pop,"You can feel it, feel it"
365,Ariana Grande,Feel It Lyrics,41.86934475,2018,Pop,"You can feel it, feel it"
958,Christina Perri,interlude Lyrics,15.66215938,2011,Pop,INSTRUMENTAL
1036,The Carpenters,Flat Baroque Lyrics,19.53172598,2006,Pop,Instrumental
1194,Disney,Belle (French) Lyrics,47.19341868,2016,Pop,la belle la belle bonjour bonjour le merchant et prince
1270,DJ Khaled,Wild Love Lyrics,15.63504872,2017,HipHop,DJ Khaled Wild Love
2121,30 Seconds to Mars,Monolith Lyrics,56.66416038,2018,Rock,[Instrumental]
2136,30 Seconds to Mars,Convergence Lyrics,37.49138251,2013,Rock,Instrumental Dreams
2145,30 Seconds to Mars,Pyres Of Varanasi Lyrics,29.00729314,2013,Rock,(Fully Instrumental)....................... ........
2323,Fleetwood Mac,Sunny Side of Heaven Lyrics,29.38804003,2006,Rock,[instrumental]
2343,Fleetwood Mac,Caught in The Rain Lyrics,22.745638600000003,2006,Rock,[instrumental]
2388,Foo Fighters,Ain't It The Life Lyrics,28.00967911,2006,Rock,Instrumental
3406,Jason Mraz,Rise Lyrics,24.46448316,2014,Rock,(instrumental)
3705,Kygo,ID- Ultra Music Festival Anthem Lyrics,33.94485914,2015,Electronic,(instrumental)
4175,Linkin Park,Foreword Lyrics,30.12924832,2006,Rock,Intro
4996,Ozzy Osbourne,Dee Lyrics,17.01489053,2006,Rock,(instrumental)
5197,Pokémon,Pomemon Johto Lyrics,6.0,2006,Other,"I WANNA BE A POKEMON MASTER , YES ! I WANNA"
5271,Prince,Mary Don't You Weep Lyrics,45.38347292,2018,Rock,Mary Don't You Weep by Prince
5422,Quiet riot,Battle Axe Lyrics,6.0,2012,Rock,[Instrumental]
5423,Quiet riot,Bass Case Lyrics,6.0,2007,Rock,[Instrumental]
5481,Queens of The Stone Age,Spiders and Vinegaroons Lyrics,15.56113914,2011,Rock,[Instrumental]
5487,Queens of The Stone Age,These Aren't the Droids You're Looking For Lyrics,15.56113914,2011,Rock,INSTRUMENTAL
5504,Queens of The Stone Age,Hispanic Impressions Lyrics,6.0,2011,Rock,INSTRUMENTAL
6351,Ub40,12 Bar Lyrics,21.92560871,2006,Pop,Instrumental
6940,The Xx,Intro Lyrics,65.31602905,2009,Rock,Instrumental Song
7451,Zayn Malik,Drunk All Summer Lyrics,7.763880242999999,2016,Pop,"[Zayn] It's all late nights, red eyes, amnesia on us"
7456,Zayn Malik,Late Nights Lyrics,7.763880242999999,2016,Pop,"[Zayn] Late nights, red eyes, amnesia"
7669,Bob Marley,Dont Worry About A Thing Lyrics,38.02040969,2012,Folk,dont worry about a thing cos everthing going to be alright
